id,label,category,category_name,role,parent,month,modifiable,description
flex_vs_mobility,Flexibility vs mobility,flex,Flexibility & Mobility,concept,what_mobility,M3,N,Still vs in-motion.
why_warmup,Why warm up,flex,Flexibility & Mobility,concept,static_vs_dynamic,M1,N,"Readiness, injury prevention."
why_cooldown,Why cool down,flex,Flexibility & Mobility,concept,static_vs_dynamic,M1,N,"Recovery, lower heart rate."
session_timing,Session timing (5-10 min),flex,Flexibility & Mobility,concept,why_warmup,M1,N,Warm-up/cooldown length.
yoga_flow,Yoga flow (floor->seated->standing),flex,Flexibility & Mobility,concept,what_mobility,M3,Y,Sequenced positions.
categorize_movements,Sort warm-up / exercise / cooldown,flex,Flexibility & Mobility,concept,static_vs_dynamic,M1,N,Classify a movement.
hamstring_sweep,Hamstring Sweep,flex,Flexibility & Mobility,skill,why_warmup,M1,Y,Dynamic warm-up (leg).
wall_slide,Wall Slide,flex,Flexibility & Mobility,skill,why_warmup,M1,Y,Dynamic warm-up (shoulders).
cat_cow,Cat-Cow,flex,Flexibility & Mobility,skill,why_warmup,M1,Y,Dynamic warm-up (back).
clam_shell,Clam Shell,flex,Flexibility & Mobility,skill,why_warmup,M1,Y,Dynamic warm-up (hip).
arm_circles,Arm Circles / Swings,flex,Flexibility & Mobility,skill,why_warmup,M1,Y,Dynamic warm-up (shoulders).
quad_pull,Quad Pull,flex,Flexibility & Mobility,skill,why_warmup,M1,Y,Dynamic warm-up (leg).
neck_circles,Neck Circles,flex,Flexibility & Mobility,skill,what_mobility,M3,Y,Mobility (neck).
knee_hugs,Standing Knee Hugs,flex,Flexibility & Mobility,skill,what_mobility,M3,Y,Mobility (hip).
heel_slides,Heel Slides,flex,Flexibility & Mobility,skill,what_mobility,M3,Y,Mobility (knee).
toe_walk,Toe Walk,flex,Flexibility & Mobility,skill,what_mobility,M3,Y,Mobility (ankle).
heel_walk,Heel Walk,flex,Flexibility & Mobility,skill,what_mobility,M3,Y,Mobility (ankle).
forward_fold,Forward Fold,flex,Flexibility & Mobility,skill,why_cooldown,M1,Y,Static stretch (leg/back).
standing_wall_stretch,Standing Wall Stretch,flex,Flexibility & Mobility,skill,why_cooldown,M1,Y,Static stretch (chest).
rear_delt_stretch,Rear Delt Stretch,flex,Flexibility & Mobility,skill,why_cooldown,M1,Y,Static stretch (shoulders).
childs_pose,Child's Pose,flex,Flexibility & Mobility,skill,why_cooldown,M1,Y,Static stretch (back).
pretzel,Pretzel,flex,Flexibility & Mobility,skill,why_cooldown,M1,Y,Static stretch (hip).
figure_4,Figure-4,flex,Flexibility & Mobility,skill,why_cooldown,M3,Y,Static stretch (hip).
upper_back_hug,Upper Back Stretch (Hug),flex,Flexibility & Mobility,skill,why_cooldown,M3,Y,Static stretch (back).
overhead_reach,Overhead Reach,flex,Flexibility & Mobility,skill,why_cooldown,M3,Y,Static stretch (side).
side_body_stretch,Side Body Stretch,flex,Flexibility & Mobility,skill,why_cooldown,M3,Y,Static stretch (side).
standing_calf_stretch,Standing / Wall Calf Stretch,flex,Flexibility & Mobility,skill,why_cooldown,M3,Y,Static stretch (calf).
chest_opener,Chest Opener,flex,Flexibility & Mobility,skill,why_cooldown,M3,Y,Static stretch (chest).
quad_stretch,Standing Quad Stretch,flex,Flexibility & Mobility,skill,why_cooldown,M3,Y,Static stretch (quad).
build_routine,Build a warm-up + cooldown routine,flex,Flexibility & Mobility,goal,,M3,Y,Assemble a full routine.
what_cardio,What is cardio,cardio,Cardiovascular & Endurance,concept,,M1,N,Raises heart rate & breathing.
cardio_benefits,Cardio benefits,cardio,Cardiovascular & Endurance,concept,what_cardio,M1,N,"Endurance, heart, lungs."
interval_training,Interval format (work / rest),cardio,Cardiovascular & Endurance,concept,what_cardio,M1,Y,60s work / 60s rest.
jumping_jacks,Jumping Jacks,cardio,Cardiovascular & Endurance,skill,interval_training,M1,Y,Cardio move.
speed_march,Speed March,cardio,Cardiovascular & Endurance,skill,interval_training,M1,Y,Cardio move.
squat_punch,Squat & Punch,cardio,Cardiovascular & Endurance,skill,interval_training,M1,Y,Cardio move.
star_jumps,Star Jumps,cardio,Cardiovascular & Endurance,skill,interval_training,M1,Y,Cardio move.
knee_to_elbow,Knee to Elbow,cardio,Cardiovascular & Endurance,skill,interval_training,M1,Y,Cardio move.
jump_rope,Jump Rope,cardio,Cardiovascular & Endurance,skill,interval_training,M1,Y,Cardio move.
line_jumps,Line Jumps,cardio,Cardiovascular & Endurance,skill,interval_training,M1,Y,Cardio move.
build_endurance,Build cardiovascular endurance,cardio,Cardiovascular & Endurance,goal,,M1,N,Sustain activity longer.
what_coordination,What is coordination,balance,Coordination & Balance,concept,,M1,N,Move body parts together.
what_balance,What is balance,balance,Coordination & Balance,concept,,M1,N,Maintain body position.
coord_balance_together,How they work together,balance,Coordination & Balance,concept,what_coordination,M1,N,Control + stability.
single_leg_stand,Stand on One Leg,balance,Coordination & Balance,skill,what_balance,M1,Y,Balance drill.
side_plank,Side Plank,balance,Coordination & Balance,skill,what_balance,M1,Y,Balance/core hold.
corner_hops,4-Corner Hops,balance,Coordination & Balance,skill,coord_balance_together,M1,Y,Coordination pattern.
ball_toss,Ball Toss / Catch,balance,Coordination & Balance,skill,what_coordination,M1,Y,Hand-eye coordination.
improve_balance,Improve coordination & balance,balance,Coordination & Balance,goal,,M1,N,"Fall prevention, stability."
exercise_to_daily,Connect exercises to daily activities,transfer,Real-World Transfer,concept,,M1,N,Map moves to real life.
functional_strength,Functional strength for daily tasks,transfer,Real-World Transfer,concept,exercise_to_daily,M2,N,Strength for living.
squat_transfer,"Squat -> sit/stand, in/out of car",transfer,Real-World Transfer,skill,exercise_to_daily,M1,N,Transfer example.
row_transfer,"Row -> pulling a door, lifting",transfer,Real-World Transfer,skill,exercise_to_daily,M1,N,Transfer example.
press_transfer,Press -> lifting / reaching overhead,transfer,Real-World Transfer,skill,exercise_to_daily,M1,N,Transfer example.
apply_daily_living,Apply fitness to independent daily living,transfer,Real-World Transfer,goal,,M2,N,Use it for real tasks.
energy_checkin,Check in on energy / mood,wellbeing,Self-Regulation & Wellbeing,concept,,X,N,Rate how you feel.
rest_vs_push,Decide when to rest vs push,wellbeing,Self-Regulation & Wellbeing,concept,energy_checkin,X,N,Effort by feel.
low_energy_option,Choose a low-energy alternative,wellbeing,Self-Regulation & Wellbeing,concept,energy_checkin,X,Y,Gentler path when unwell.
reflection,Reflect on a session,wellbeing,Self-Regulation & Wellbeing,concept,,X,N,Note how it felt.
be_the_coach,Be the coach (teach someone),wellbeing,Self-Regulation & Wellbeing,concept,,M1,N,Teach an exercise to a peer.
partner_workout,Work out with a partner,wellbeing,Self-Regulation & Wellbeing,concept,,M1,N,Social challenge.
sustain_habit,Sustain a consistent exercise habit,wellbeing,Self-Regulation & Wellbeing,goal,,X,N,Keep going week to week.
